Common Name,Latin Name,Image,Category,Ecological Status,Evergreen,Seasonal Interest,Height Class,Sun Exposure,Moisture Preference,Notes,inaturalist image url,curated image url,Habitat Patch Role,Aggressive,Patch Scale,Mesic South- Facing Heat,Dry Upper Slope,Mid-Slope Mesic,Moist Lower Area,Woodland Edge,Conifer Shade,Dry Slope,Native L3_58,Native L3_598,Native L3_64,Native L3_84,Plant Form,Max Height (ft),Foliage Color,deer_pressure,rabbit_damage,vole_girdling_risk,toxic_dogs,toxic_cats,toxic_children,juglone_sensitivity,white_pine_tolerance,norway_maple_tolerance,seed_ripe_start,seed_ripe_end,seed_notes,caterpillar_species,propagation_notes,edible,edible_notes,medicinal,medicinal_notes,Flower Color,Bloom Period,bloom_start_idx,bloom_end_idx,flower_color_hex,Latin Name for alignment
Royal Fern,Osmunda regalis,,Fern,Native,No,Foliage Interest,Tall,Part Sun–Shade,Moist–Wet,Moisture-loving fern with tall fronds,https://static.inaturalist.org/photos/49002953/medium.jpeg,,Anchor,N,Medium,3 - OK,1 - Don't Use,3 - OK,5 - Best Fit,4 - Strong,3 - OK,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,4,,low,low,low,no,no,no,unknown,avoid,avoid,May,June,"Fern — produces spores, not seeds",5,"Ground layering works well — pin a low branch to moist soil in spring, sever the following year once rooted.",with caveats,Fiddleheads edible cooked; do not eat raw,no,,,Spring–Fall,3,10,,Osmunda regalis
Cinnamon Fern,Osmundastrum cinnamomeum,,Fern,Native,No,Cinnamon fertile fronds,Tall,Part Shade–Shade,Moist,Large moisture-loving fern; bold structural presence,https://static.inaturalist.org/photos/75969516/medium.jpg,,Understory fill,N,Large,3 - OK,1 - Don't Use,4 - Strong,5 - Best Fit,4 - Strong,4 - Strong,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,5,,low,low,low,no,no,no,unknown,avoid,avoid,May,June,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge; keep moist,with caveats,Fiddleheads edible cooked; do not eat raw,no,,,Spring–Fall,3,10,,Osmundastrum cinnamomeum
Hop-hornbeam / Ironwood,Ostrya virginiana,,Tree - Small,Native,No,,Structural,Full Sun–Part Sun,Mesic,Hardwood understory tree,https://inaturalist-open-data.s3.amazonaws.com/photos/15550/medium.jpg,,Woody,N,Medium,4 - Strong,2 - Marginal,4 - Strong,4 - Strong,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Tree,30,,high,medium,low,no,no,no,tolerant,tolerant,marginal,August,September,Small hoplike fruits; shake over bag,100,Best grown from fresh seed; slow to establish,no,,no,,cream,,,,#FFF8DC,Ostrya virginiana
Sourwood,Oxydendrum arboreum,,Tree - Large,Native,No,Fall Color + Nectar,Structural,Full Sun–Part Sun,Mesic,Loves acidic soils; stellar fall red,https://inaturalist-open-data.s3.amazonaws.com/photos/396498/medium.JPG,,Woody,N,Medium,4 - Strong,2 - Marginal,3 - OK,3 - OK,5 - Best Fit,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Tree,30,,low,low,low,yes,yes,yes,unknown,marginal,avoid,September,October,Small dry capsules in racemes,30,Best grown from fresh seed; slow to establish,no,,no,,white,Summer–Fall,7,10,#FFFFFF,Oxydendrum arboreum
Golden Ragwort,Packera aurea,,Flowering Perennial,Native,Partly,Summer / Fall,Low,Part Sun–Shade,Mesic–Moist,Spring bright gold,https://inaturalist-open-data.s3.amazonaws.com/photos/102867/medium.jpg,,Ground,M,Small,4 - Strong,2 - Marginal,3 - OK,5 - Best Fit,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,1.5,,low,low,low,yes,yes,yes,unknown,marginal,marginal,May,June,Seeds ripen very early; collect promptly,20,"Ground layering works well — pin a low branch to moist acidic soil in spring, sever the following year. Division not practical; best from softwood cuttings in summer.",no,Toxic,no,,yellow,Mid/Late Summer,6,9,#F9C820,Packera aurea
Roundleaf Ragwort,Packera obovata,,Flowering Perennial,Native,Yes,Early spring yellow bloom; evergreen rosette,Short,Part shade to full shade,Average to moist,Evergreen groundcover; bright yellow spring flowers; spreads by stolons to fill; excellent under trees,https://inaturalist-open-data.s3.amazonaws.com/photos/736668/medium.jpg,,Groundcover,M,2,1 - Don't Use,1 - Don't Use,3 - OK,3 - OK,4 - Strong,2 - Marginal,1 - Don't Use,,,,,Low spreading perennial,12,green,low,low,low,no,no,no,tolerant,,,Jun,Jul,Collect when seeds are fluffy; tiny seeds,0,Spreads by stolons; divide in fall or spring; easy from seed,no,Toxic — do not ingest,no,,yellow,Apr-May,3,4,#F9C820,Packera obovata
Switchgrass,Panicum virgatum,,Grass,Native,No,Summer / Fall / Winter,Structural,Full Sun–Part Sun,Dry–Mesic,Good structure for wildlife cover,https://inaturalist-open-data.s3.amazonaws.com/photos/9682082/medium.jpg,,Understory fill,,Small,5 - Best Fit,3 - OK,4 - Strong,4 - Strong,3 - OK,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,5,blue-gray,low,low,low,no,no,no,tolerant,avoid,avoid,October,November,Seeds in open panicle; shake or strip,20,Divide clumps in early spring or fall; easy and vigorous,no,,no,,,Mid/Late Summer,6,9,,Panicum virgatum
Virginia Creeper,Parthenocissus quinquefolia,,Vine,Native,N,Strong red fall color; blue berries for birds,Woody Vine (30–50 ft),Full Sun to Part Shade,Dry to Moist,Fast-growing native climber; valuable for wildlife; can spread but typically manageable in patch context,https://inaturalist-open-data.s3.amazonaws.com/photos/1688748/medium.JPG,,Edge / Vertical Structure,Moderate,Small–Large,4 - Strong,5 - Best Fit,4 - Strong,4 - Strong,5 - Best Fit,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Vine,50,,medium,low,low,yes,yes,yes,tolerant,marginal,marginal,September,October,Blue-black berries; clean pulp; cold stratify,100,Division not practical; grows easily from cuttings or layering,no,Mildly toxic,no,,,June–July,5,6,,Parthenocissus quinquefolia
Foxglove Beardtongue,Penstemon digitalis,,Flowering Perennial,Native,No,Spring,Mid,Full Sun–Part Sun,Mesic,White spikes in dry meadow,https://inaturalist-open-data.s3.amazonaws.com/photos/200036822/medium.jpeg,,Understory fill,,Small,5 - Best Fit,5 - Best Fit,4 - Strong,3 - OK,3 - OK,3 - OK,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,3,red,low,medium,low,no,no,no,unknown,avoid,avoid,July,August,Dry capsules; shake seeds out,15,"Live staking works — cut stems in late winter before bud break, push 2/3 into moist soil. Also divide suckers in early spring or fall.",no,,no,,white,Late Spring,4,5,#FFFFFF,Penstemon digitalis
Hairy Beardtongue,Penstemon hirsutus,,Flowering Perennial,Native,No,Spring,Mid,Full Sun,Dry–Mesic,Purple flowers rocky soils,https://inaturalist-open-data.s3.amazonaws.com/photos/153009367/medium.jpg,,Understory fill,,Small,5 - Best Fit,5 - Best Fit,4 - Strong,3 - OK,3 - OK,3 - OK,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,no,no,no,unknown,avoid,avoid,July,August,Dry capsules; shake seeds out,15,"Live staking works well — cut pencil-thick stems in late winter, push 2/3 into moist soil. Also divide suckers in early spring or fall; spreads by root suckers.",no,,no,,lavender | white,Late Spring,4,5,#9B89C4,Penstemon hirsutus
Jumpseed,Persicaria virginiana,,Flowering Perennial,Native,No,Summer / Fall,Mid,Part Sun–Shade,Mesic,One of the best native plants for dry shade — genuinely tolerant of difficult understory conditions including under Norway maple. Seeds eject forcefully when ripe. Variegated cultivars are popular in shade gardens.,https://inaturalist-open-data.s3.amazonaws.com/photos/184431181/medium.jpg,,Ground,N,Small,2 - Marginal,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,no,no,no,tolerant,tolerant,tolerant,August,September,Seeds eject when touched — bag stems before ripe or collect carefully,15,Divide in early spring; self-seeds readily under good conditions,with caveats,Young shoots edible cooked,no,,white | pink,Mid/Late Summer,6,9,#FFFFFF,Persicaria virginiana
Northern Beech Fern,Phegopteris connectilis,,Fern,Native,No,Groundcover foliage,Low,Shade,Mesic,Low delicate woodland fern; slowly spreading,https://inaturalist-open-data.s3.amazonaws.com/photos/120116816/medium.jpg,,Ground layer,N,Small,2 - Marginal,1 - Don't Use,4 - Strong,3 - OK,5 - Best Fit,5 - Best Fit,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,1,,low,low,low,no,no,no,unknown,marginal,avoid,June,August,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge; spreads slowly,no,,no,,,Spring–Fall,3,10,,Phegopteris connectilis
Broad Beech Fern,Phegopteris hexagonoptera,,Fern,Native,No,Broad arching fronds; woodland carpet,Low,Part Sun–Shade,Mesic,Broad triangular fronds spread horizontally to carpet the woodland floor. Different from Long Beech Fern in its broader fronds and lower-spreading habit. Excellent for moist acidic woodland understory. Spreads slowly by creeping rhizomes to form groundcover colonies.,https://inaturalist-open-data.s3.amazonaws.com/photos/205216708/medium.jpg,,Ground,N,Small,1 - Don't Use,1 - Don't Use,3 - OK,3 - OK,4 - Strong,3 - OK,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,1.5,bright green,low,low,low,no,no,no,unknown,marginal,avoid,July,August,Fern — produces spores; spores ripen midsummer on underside of fronds,2,Divide rhizomes in early spring; prefers moist acid soil; slow to establish — allow to spread naturally,no,,no,,,Spring–Fall,3,10,,Phegopteris hexagonoptera
Woodland Phlox,Phlox divaricata,,Flowering Perennial,Native,No,Spring woodland flowers,Low,Part Shade–Shade,Mesic,Spring woodland phlox spreading gently through shade,https://inaturalist-open-data.s3.amazonaws.com/photos/3365048/medium.jpg,,Ground layer,N,Small,Spring woodland phlox; good groundcover in shade,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,1,,medium,medium,low,mild,yes,mild,unknown,tolerant,marginal,May,June,Small dry capsules; collect promptly,10,Divide in early spring or fall; spreads by stolons,no,,no,,lavender | blue | white,Spring,3,5,#9B89C4,Phlox divaricata
Creeping Phlox,Phlox stolonifera,,Flowering Perennial,Native,No,Spreading spring groundcover,Low,Part Shade–Shade,Mesic,Spreading groundcover phlox for woodland edges,https://inaturalist-open-data.s3.amazonaws.com/photos/324269/medium.jpg,,Ground layer,N,Small,Spreading woodland groundcover phlox,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,1,,medium,medium,low,mild,yes,mild,unknown,tolerant,marginal,May,June,Small dry capsules; collect promptly,10,Divide in early spring or fall; spreads by stolons,no,,no,,pink | purple | white,Spring,3,5,#E8829A,Phlox stolonifera
Moss Phlox,Phlox subulata,,Flowering Perennial,Native,Yes,Spring carpet flowers,Low,Sun,Dry,Low mat-forming phlox suited to sunny dry slopes,https://inaturalist-open-data.s3.amazonaws.com/photos/36087958/medium.jpg,,Ground layer,N,Small,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,1,,low,low,low,mild,yes,mild,unknown,avoid,avoid,May,June,Small dry capsules; collect promptly,10,Divide in early spring or fall; spreads to form mat,no,,no,,pink | purple | white,Spring,3,5,#E8829A,Phlox subulata
Ninebark,Physocarpus opulifolius,,Shrub,Native,N,Exfoliating bark; pollinator flowers,Shrub,Full Sun to Part Shade,Mesic to Moist,Excellent structural shrub,https://inaturalist-open-data.s3.amazonaws.com/photos/135237890/medium.jpeg,,Understory fill,N,Small to Medium,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,4 - Strong,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Shrub,8,,low,low,low,no,no,no,tolerant,marginal,marginal,August,September,Small dry follicles in clusters,35,Divide suckers in early spring or fall,no,,no,,white | pink,Late Spring,4,5,#FFFFFF,Physocarpus opulifolius
Obedient Plant,Physostegia virginiana,,Flowering Perennial,Native,No,Summer Color,Tall,Full Sun–Part Sun,Mesic–Moist,Pink or white spikes; spreads but manageable; strong pollinator plant,https://inaturalist-open-data.s3.amazonaws.com/photos/49931148/medium.jpg,,Anchor,M,Medium,4 - Strong,1 - Don't Use,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,4,,low,low,low,no,no,no,unknown,avoid,avoid,September,October,Small dry nutlets; strip from stem,10,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. Also divide suckers in early spring or fall.",no,,no,,pink | white,Summer,6,8,#E8829A,Physostegia virginiana
White spruce,Picea glauca,,Tall Canopy Tree,Native,Y,Evergreen form,Large Tree,Full Sun to Part Shade,Mesic,Cold-hardy spruce,https://inaturalist-open-data.s3.amazonaws.com/photos/10737093/medium.jpeg,,Evergreen structure,N,Large,3 - OK,3 - OK,4 - Strong,3 - OK,3 - OK,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Tree,60,blue-gray,medium,medium,high,no,no,no,sensitive,tolerant,avoid,September,October,Small cones; shake seeds out,140,Best grown from seed; difficult to transplant,with caveats,Young tips edible; used in spruce tip syrup,no,,,Spring,3,5,,Picea glauca
Jack pine,Pinus banksiana,,Tree - Large,Native,Y,Evergreen cover,Large Tree,Full Sun,Dry,Sandy dry soils,https://static.inaturalist.org/photos/8937314/medium.jpg,,Evergreen structure,N,Large,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Tree,50,,medium,medium,high,mild,mild,no,sensitive,tolerant,avoid,September,October,Cones take 2 years; collect when open,240,Best grown from seed; difficult to transplant,with caveats,Young tips edible,no,,,Spring,3,5,,Pinus banksiana
Red pine,Pinus resinosa,,Tall Canopy Tree,Native,Y,Evergreen structure,Large Tree,Full Sun,Dry to Mesic,Long-lived conifer,https://static.inaturalist.org/photos/231729665/medium.jpg,,Evergreen structure,N,Large,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Tree,60,dark green,medium,medium,high,mild,mild,no,sensitive,tolerant,avoid,September,October,Cones take 2 years; collect when open,240,Best grown from seed; difficult to transplant,with caveats,Young tips edible,no,,,Spring,3,5,,Pinus resinosa
Pitch Pine,Pinus rigida,,Tree,Native,Yes,Evergreen; gnarled character; pine barrens habitat,Structural,Full Sun,Dry,"Defining tree of New England pine barrens and sandy plains. Extremely fire-tolerant — sprouts from trunk and roots after fire. Survives the most droughty, nutrient-poor soils. Gnarled picturesque form. Critical habitat for pine barrens specialist species. Underused outside its natural range.",https://static.inaturalist.org/photos/268382579/medium.jpg,,Woody,N,Large,5 - Best Fit,5 - Best Fit,2 - Marginal,1 - Don't Use,2 - Marginal,3 - OK,5 - Best Fit,No,Yes,Yes,No,Tree,60,dark green,low,low,low,no,no,no,unknown,tolerant,avoid,September,October,Prickly cones may persist serotinously for years; heat opens cones; collect when brown; cold stratify 30-60 days,40,Cold stratify 30-60 days; direct sow in fall; transplant as small container stock; slow growing,with caveats,Seeds edible; inner bark historically used as food,no,,,Spring (pollen),3,5,,Pinus rigida
Eastern White Pine,Pinus strobus,,Tree - Large,Native,Yes,Spring,Structural,Full Sun–Part Sun,Dry–Mesic,Fast evergreen height,https://inaturalist-open-data.s3.amazonaws.com/photos/390760300/medium.jpeg,,Woody,N,Large,3 - OK,3 - OK,4 - Strong,3 - OK,4 - Strong,5 - Best Fit,3 - OK,Yes,Yes,Yes,Yes,Tree,80,blue-gray,medium,medium,high,mild,mild,no,sensitive,tolerant,avoid,September,October,Cones take 2 years to ripen; collect when open,240,Best grown from seed; difficult to transplant once established,with caveats,Young needles edible; high in vitamin C,yes,Needle tea used medicinally,,Early Spring,2,3,,Pinus strobus
Virginia Pine / Scrub Pine,Pinus virginiana,,Tree,Native,Yes,Evergreen; rugged dry-site character,Structural,Full Sun,Dry,"Rugged small-to-medium native pine of dry, rocky, or poor soils. Twisted irregular growth form. More tolerant of harsh dry conditions than white pine. Important pioneer on poor soils. Reaches naturally into southern New England. Similar niche to pitch pine but more widely distributed.",https://static.inaturalist.org/photos/8864221/medium.jpg,,Woody,N,Large,4 - Strong,5 - Best Fit,2 - Marginal,1 - Don't Use,2 - Marginal,3 - OK,5 - Best Fit,No,No,Yes,Yes,Tree,40,dark green,low,low,low,no,no,no,unknown,tolerant,avoid,September,October,Prickly cones; collect when brown; cold stratify 30-60 days,30,Cold stratify 30-60 days; direct sow in fall; transplant as small container stock,no,,no,,,Spring (pollen),3,5,,Pinus virginiana
Sycamore,Platanus occidentalis,,Tree - Large,Native,N,Mottled bark; strong winter structure,Large Tree,Full Sun,Mesic to Moist,Fast growing floodplain canopy tree,https://inaturalist-open-data.s3.amazonaws.com/photos/204738082/medium.jpg,,Canopy structure,N,Large,2 - Marginal,2 - Marginal,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,Yes,Yes,Yes,Yes,Tree,100,,medium,low,low,no,no,no,unknown,avoid,avoid,October,November,Spiky balls; shake out winged seeds when dry,20,Best grown from fresh seed; difficult to transplant,no,,no,,,Spring,3,5,,Platanus occidentalis
Mayapple,Podophyllum peltatum,,Foliage Perennial,Native,No,Dramatic spring foliage; edible fruit,Low,Part Sun–Shade,Mesic,Dramatic colony-forming perennial with large umbrella-like leaves. Hidden white flowers beneath leaf canopy. Edible yellow fruit in summer when ripe. Spreads by rhizome to form dense colonies — can be aggressive in suitable conditions. Excellent large-scale woodland groundcover. Goes dormant by midsummer.,https://inaturalist-open-data.s3.amazonaws.com/photos/35674124/medium.jpg,,Ground,M,Large,1 - Don't Use,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,1.5,green,low,low,low,yes,yes,yes,tolerant,marginal,marginal,July,August,Yellow fruit contains seeds; clean pulp; warm then cold stratify — slow to germinate,5,Divide rhizomes in early fall; very easy once established; spreads quickly to form colonies,with caveats,Ripe yellow fruit only edible — all other parts highly toxic including seeds,no,,white,Spring,3,5,#FFFFFF,Podophyllum peltatum
Jacob's Ladder,Polemonium reptans,,Flowering Perennial,Native,No,Spring Flowers; foliage interest,Low,Part Sun–Shade,Mesic,Delicate blue-lavender bell-shaped flowers in spring on ladder-like pinnate foliage. Native to eastern North America. Excellent shade perennial that combines well with ferns and woodland groundcovers. Self-seeds gently without becoming weedy.,https://inaturalist-open-data.s3.amazonaws.com/photos/23272/medium.jpg,,Ground,N,Small,1 - Don't Use,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,1.5,,low,low,low,no,no,no,unknown,marginal,marginal,June,July,Small capsules; collect when brown before they shatter; self-seeds gently,10,Divide in early spring; also self-seeds reliably — allow seedlings to fill in,no,,no,,blue | lavender,Mid Spring,3,4,#4A7FC1,Polemonium reptans
Solomon's Seal,Polygonatum biflorum,,Foliage Perennial,Native,No,Spring / Fall,Mid,Part Sun–Shade,Mesic,"Arching stems, woodland performer",https://static.inaturalist.org/photos/38749166/medium.jpg,,Ground,N,Small,2 - Marginal,2 - Marginal,4 - Strong,4 - Strong,4 - Strong,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,3,,high,medium,low,mild,mild,mild,unknown,tolerant,marginal,August,September,Blue-black berries; clean pulp; cold stratify,5,Divide in early spring as shoots emerge; spreads slowly,with caveats,Young shoots edible cooked only,no,,white | cream,Early Spring,2,3,#FFFFFF,Polygonatum biflorum
Wild Garlic,Polypodium virginianum,,Flowering Perennial,Native,No,Summer / Fall,Mid,Full Sun–Part Sun,Mesic,"Edible, spreads moderately",https://inaturalist-open-data.s3.amazonaws.com/photos/42172861/medium.jpg,,Understory fill,,Small,5 - Best Fit,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,yes,yes,mild,unknown,avoid,avoid,July,August,Collect seed heads when papery and dry,10,"Live staking works well — cut pencil-thick stems in late winter, push 2/3 into moist soil before leaves emerge. One of the easiest plants to live stake.",yes,Edible rhizomes; sweet licorice flavor,no,,pink | white,Mid/Late Summer,6,9,#E8829A,Polypodium virginianum
Christmas Fern,Polystichum acrostichoides,,Fern,Native,Partly,Winter,Mid,Part Sun–Shade,Mesic,"Evergreen-ish fronds hold soil, persistent foliage in mild winters",https://inaturalist-open-data.s3.amazonaws.com/photos/198714870/medium.jpeg,,Matrix,N,Small,3 - OK,2 - Marginal,3 - OK,3 - OK,4 - Strong,4 - Strong,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,2,dark green,low,low,low,no,no,no,tolerant,tolerant,marginal,June,August,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge; easy and reliable,no,,no,,,,,,,Polystichum acrostichoides
Cottonwood,Populus deltoides,,Tall Canopy Tree,Native,No,Spring catkins,Structural,Full Sun,Moist–Wet,One of the fastest-growing native trees. Supports more caterpillar species than almost any other genus besides oaks and willows. Cottony seeds disperse in late spring. Needs moisture and sun.,https://inaturalist-open-data.s3.amazonaws.com/photos/4350/medium.jpg,,Woody,N,Large,2 - Marginal,2 - Marginal,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,Yes,Yes,Yes,Yes,Tree,100,,low,low,low,no,no,no,unknown,avoid,avoid,May,June,Cottony seeds disperse very quickly — collect immediately as capsules open,330,Grows very easily from hardwood cuttings or live stakes in late winter,no,,no,,yellow | green,Early Spring,2,3,#F9C820,Populus deltoides
Quaking Aspen,Populus tremuloides,,Tree - Large,Native,No,Fall color; trembling foliage,Structural,Full Sun,Mesic,Leaves quiver in the slightest breeze. Spreads aggressively by root suckers to form clones. Excellent wildlife value. Brilliant golden fall color. Pioneer species on disturbed sites.,https://inaturalist-open-data.s3.amazonaws.com/photos/26648317/medium.jpeg,,Woody,Y,Large,3 - OK,4 - Strong,4 - Strong,3 - OK,4 - Strong,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Tree,60,yellow,low,low,low,no,no,no,unknown,avoid,avoid,May,June,Cottony seeds disperse very quickly — collect immediately,330,Easy from root suckers or hardwood cuttings; live staking works,no,,no,,yellow | green,Early Spring,2,3,#F9C820,Populus tremuloides
Wild plum,Prunus americana,,Tree - Small,Native,N,White flowers; fruit,Small Tree,Full Sun,Dry to Mesic,Thicket-forming plum,https://static.inaturalist.org/photos/6553272/medium.jpg,,Edge habitat,Y,Medium,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,3 - OK,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Tree,15,,high,medium,medium,mild,mild,mild,sensitive,avoid,avoid,August,September,Yellow plums; clean pulp; cold stratify,400,Division not practical; best from softwood cuttings in summer,yes,Edible fruit; wild plum,no,,white,Spring,3,5,#FFFFFF,Prunus americana
Beach plum,Prunus maritima,,Shrub – Large,Native,N,Edible fruit,Shrub,Full Sun,Dry to Mesic,Coastal sandy specialist,https://inaturalist-open-data.s3.amazonaws.com/photos/24175601/medium.jpeg,,Edge habitat,N,Small to Medium,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,3 - OK,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Shrub,6,,high,medium,medium,mild,mild,mild,sensitive,avoid,avoid,August,September,Purple plums; clean pulp; cold stratify,400,Division not practical; best from softwood cuttings in summer,yes,Edible fruit; beach plum,no,,white,Spring,3,5,#FFFFFF,Prunus maritima
Canada Plum,Prunus nigra,,Small Tree,Native,No,Spring Flowers / Summer Fruit,Midstory,Full Sun–Part Sun,Mesic,Native plum,https://inaturalist-open-data.s3.amazonaws.com/photos/17985242/medium.jpeg,,Woody,Y,Medium,4 - Strong,3 - OK,4 - Strong,4 - Strong,3 - OK,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Tree,20,green,medium,medium,medium,no,no,no,tolerant,marginal,tolerant,August,September,Edible fruit,400,Suckers or seed,yes,Edible fruit; Canada plum,no,,white,Spring,3,5,#FFFFFF,Prunus nigra
Sand Cherry,Prunus pumila,,Shrub,Native,No,Spring Flowers,Tall,Full Sun,Dry,Low suckering native shrub; good for sandy soils,https://inaturalist-open-data.s3.amazonaws.com/photos/2241283/medium.JPG,,Wildlife shrub,,Medium,5 - Best Fit,5 - Best Fit,4 - Strong,2 - Marginal,2 - Marginal,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Shrub,6,,high,medium,medium,mild,mild,mild,unknown,avoid,avoid,August,September,Small purple drupes; clean pulp; cold stratify,400,Division not practical; best from softwood cuttings in summer,yes,Edible fruit; sand cherry,no,,white,Spring,3,5,#FFFFFF,Prunus pumila
Black Cherry,Prunus serotina,,Tree - Large,Native,No,Spring / Fall,Structural,Full Sun–Part Sun,Mesic,Wildlife fruit + early successional,https://inaturalist-open-data.s3.amazonaws.com/photos/14006/medium.jpg,,Woody,M,Large,4 - Strong,3 - OK,4 - Strong,4 - Strong,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Tree,50,dark green,high,medium,medium,yes,yes,yes,tolerant,marginal,marginal,August,September,Black cherries; clean pulp; cold stratify,400,Best grown from fresh seed; difficult to transplant,with caveats,Fruit edible; pits toxic — do not eat,no,,white,Early Spring,2,3,#FFFFFF,Prunus serotina
Chokecherry (aka Black Chokecherry),Prunus virginiana,,Tree - Small,Native,No,Summer Foliage + Fruit,Structural,Full Sun–Part Sun,Dry–Mesic,Leaf color shifts; hybrid maintains wildlife value,https://inaturalist-open-data.s3.amazonaws.com/photos/146282563/medium.jpg,,Canopy structure,,Large,4 - Strong,2 - Marginal,4 - Strong,3 - OK,3 - OK,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Tree,20,,high,medium,medium,yes,yes,yes,unknown,marginal,marginal,August,September,Dark cherries; clean pulp; cold stratify,400,Division not practical; best from softwood cuttings in summer,with caveats,Fruit edible cooked; raw fruit very astringent,no,,white,Spring,3,5,#FFFFFF,Prunus virginiana
Rabbit Tobacco,Pseudognaphalium obtusifolium,,Flowering Perennial,Native,No,Fall / Winter,Mid,Full Sun,Dry,Fragrant woolly annual or biennial of dry open disturbed sites. Persistent fluffy seed heads provide winter interest. Pioneer species — excellent for difficult dry post-construction sites.,https://inaturalist-open-data.s3.amazonaws.com/photos/50664937/medium.jpg,,Matrix,N,Small,4 - Strong,5 - Best Fit,4 - Strong,1 - Don't Use,2 - Marginal,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,no,no,no,unknown,avoid,avoid,August,September,Fluffy achenes — collect before dispersal,10,Annual/biennial — grow from seed; reseeds readily in disturbed ground,no,,no,,white | cream,Late Summer–Fall,8,10,#FFFFFF,Pseudognaphalium obtusifolium
Appalachian mountain mint,Pycnanthemum flexuosum,,Perennial,Native,No,Flowers,Medium,Full Sun–Part Shade,Mesic–Dry,Aromatic pollinator plant,https://inaturalist-open-data.s3.amazonaws.com/photos/5355612/medium.jpg,,Midstory,Y,Medium,4 - Strong,4 - Strong,4 - Strong,3 - OK,3 - OK,2 - Marginal,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,3,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,July,September,Spreads moderately,20,Rhizomatous,with caveats,Aromatic leaves used as herb and tea,no,,white,Summer,6,8,#FFFFFF,Pycnanthemum flexuosum
